filename,width,height,class,xmin,ymin,xmax,ymax
00511.jpg,1920,1080,car,601.0,287.0,881.0,435.0
00541.jpg,1920,1080,car,841.0,224.0,1142.0,408.0
00601.jpg,1920,1080,car,1430.0,589.0,1661.0,805.0
00691.jpg,1920,1080,car,324.0,81.0,546.0,331.0
00721.jpg,1920,1080,car,392.0,452.0,535.0,727.0
00751.jpg,1920,1080,car,489.0,774.0,651.0,1029.0
00841.jpg,1920,1080,car,665.0,0.0,951.0,81.0
00931.jpg,1920,1080,car,1648.0,810.0,1833.0,1050.0
01081.jpg,1920,1080,car,795.0,12.0,1012.0,158.0
01171.jpg,1920,1080,car,713.0,32.0,982.0,144.0
01441.jpg,1920,1080,car,645.0,49.0,847.0,147.0
01471.jpg,1920,1080,car,496.0,0.0,654.0,108.0
01471.jpg,1920,1080,car,1080.0,0.0,1237.0,132.0
01501.jpg,1920,1080,car,865.0,97.0,1029.0,212.0
01531.jpg,1920,1080,car,638.0,81.0,799.0,191.0
01741.jpg,1920,1080,car,1104.0,108.0,1230.0,229.0
01771.jpg,1920,1080,car,1009.0,185.0,1135.0,319.0
01771.jpg,1920,1080,car,1724.0,324.0,1799.0,443.0
01771.jpg,1920,1080,car,1827.0,341.0,1884.0,459.0
01801.jpg,1920,1080,car,914.0,267.0,1057.0,351.0
01951.jpg,1920,1080,car,1338.0,347.0,1464.0,397.0
01951.jpg,1920,1080,car,1423.0,245.0,1542.0,300.0
01951.jpg,1920,1080,car,1629.0,725.0,1681.0,825.0
01951.jpg,1920,1080,car,1670.0,818.0,1778.0,857.0
01951.jpg,1920,1080,car,1684.0,881.0,1767.0,919.0
01951.jpg,1920,1080,car,1845.0,148.0,1903.0,251.0
02011.jpg,1920,1080,car,805.0,910.0,904.0,1016.0
02011.jpg,1920,1080,car,1249.0,473.0,1358.0,606.0
02011.jpg,1920,1080,car,1520.0,621.0,1631.0,720.0
02011.jpg,1920,1080,car,1604.0,787.0,1718.0,873.0
02041.jpg,1920,1080,car,1230.0,373.0,1307.0,497.0
02041.jpg,1920,1080,car,1528.0,616.0,1633.0,706.0
02041.jpg,1920,1080,car,1537.0,710.0,1629.0,791.0
02041.jpg,1920,1080,car,881.0,835.0,960.0,950.0
02101.jpg,1920,1080,car,1150.0,135.0,1204.0,246.0
02101.jpg,1920,1080,car,1066.0,712.0,1168.0,827.0
02101.jpg,1920,1080,car,1487.0,965.0,1523.0,1071.0
02101.jpg,1920,1080,car,1595.0,550.0,1714.0,629.0
02101.jpg,1920,1080,car,1347.0,471.0,1451.0,554.0
02101.jpg,1920,1080,car,1512.0,435.0,1633.0,528.0
02131.jpg,1920,1080,car,1164.0,607.0,1231.0,729.0
02131.jpg,1920,1080,car,1201.0,347.0,1307.0,435.0
02131.jpg,1920,1080,car,1451.0,296.0,1587.0,360.0
02131.jpg,1920,1080,car,1446.0,374.0,1564.0,429.0
02131.jpg,1920,1080,car,993.0,10.0,1062.0,119.0
02161.jpg,1920,1080,car,1778.0,24.0,1827.0,143.0
02161.jpg,1920,1080,car,1343.0,165.0,1477.0,217.0
02161.jpg,1920,1080,car,1250.0,273.0,1385.0,321.0
02161.jpg,1920,1080,car,1027.0,308.0,1170.0,364.0
02161.jpg,1920,1080,car,1170.0,486.0,1251.0,621.0
02161.jpg,1920,1080,car,1719.0,723.0,1818.0,772.0
02191.jpg,1920,1080,car,1119.0,396.0,1230.0,550.0
02191.jpg,1920,1080,car,841.0,271.0,961.0,348.0
02191.jpg,1920,1080,car,1051.0,238.0,1179.0,332.0
02191.jpg,1920,1080,car,1400.0,0.0,1477.0,110.0
02311.jpg,1920,1080,car,939.0,227.0,1020.0,370.0
02311.jpg,1920,1080,car,760.0,402.0,897.0,454.0
02311.jpg,1920,1080,car,500.0,350.0,632.0,423.0
02311.jpg,1920,1080,car,239.0,305.0,346.0,366.0
02311.jpg,1920,1080,car,1315.0,551.0,1438.0,627.0
02311.jpg,1920,1080,car,1578.0,658.0,1712.0,759.0
02311.jpg,1920,1080,car,1449.0,104.0,1543.0,169.0
02401.jpg,1920,1080,car,916.0,224.0,1007.0,379.0
02401.jpg,1920,1080,car,645.0,378.0,799.0,459.0
02401.jpg,1920,1080,car,408.0,294.0,507.0,369.0
02401.jpg,1920,1080,car,135.0,239.0,220.0,278.0
02401.jpg,1920,1080,car,1151.0,416.0,1273.0,524.0
02401.jpg,1920,1080,car,1343.0,544.0,1469.0,641.0
02401.jpg,1920,1080,car,1614.0,631.0,1718.0,702.0
02401.jpg,1920,1080,car,946.0,0.0,1013.0,90.0
02401.jpg,1920,1080,car,1447.0,85.0,1537.0,155.0
02401.jpg,1920,1080,car,1566.0,41.0,1605.0,156.0
02401.jpg,1920,1080,car,1624.0,62.0,1664.0,187.0
02521.jpg,1920,1080,car,1034.0,18.0,1110.0,140.0
02521.jpg,1920,1080,car,948.0,348.0,1085.0,418.0
02521.jpg,1920,1080,car,1128.0,375.0,1224.0,489.0
02521.jpg,1920,1080,car,1295.0,517.0,1405.0,597.0
02521.jpg,1920,1080,car,467.0,342.0,586.0,427.0
02581.jpg,1920,1080,car,991.0,126.0,1056.0,251.0
02581.jpg,1920,1080,car,996.0,358.0,1114.0,424.0
02581.jpg,1920,1080,car,784.0,386.0,901.0,444.0
02581.jpg,1920,1080,car,203.0,261.0,296.0,335.0
02581.jpg,1920,1080,car,1464.0,90.0,1546.0,165.0
02581.jpg,1920,1080,car,1579.0,49.0,1610.0,162.0
02581.jpg,1920,1080,car,1628.0,72.0,1670.0,189.0
02581.jpg,1920,1080,car,1162.0,423.0,1259.0,510.0
